seqnames	start	end	width	strand	Conc	Conc_DOX	Conc_none	Fold	p.value	FDR	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	symbol	ENTREZID
chr3	173655757	173657558	1802	*	6.28	6.77	5.53	1.25	0.0109	0.165	4840	ENSG00000237645	173644231	173644711	+	downstream	11526	11046	NearestLocation	NA	NA
chr11	54406865	54407425	561	*	8.41	8.68	8.09	0.59	0.0111	0.167	1620	ENSG00000237610	54591480	54592409	+	upstream	-184615	184055	NearestLocation	NA	NA
chr10	78033813	78034666	854	*	6.18	6.62	5.53	1.09	0.0111	0.168	1416	ENSG00000138326	78033760	78056812	+	inside	53	53	NearestLocation	RPS24	6229
chr3	171584138	171590471	6334	*	9.31	9.59	8.96	0.63	0.0113	0.169	4572	ENSG00000234594	171534423	171534615	+	downstream	49715	49523	NearestLocation	NA	NA
chr2	76661259	76663409	2151	*	6.36	6.76	5.79	0.97	0.0113	0.17	2826	ENSG00000251947	76595413	76595678	-	upstream	-65581	65581	NearestLocation	NA	NA
chr3	173595466	173597438	1973	*	6.35	6.8	5.7	1.1	0.0114	0.171	4828	ENSG00000237645	173644231	173644711	+	upstream	-48765	46793	NearestLocation	NA	NA
chr12	3499581	3500822	1242	*	6.67	7.04	6.17	0.86	0.0114	0.171	1798	ENSG00000243507	3468950	3469296	+	downstream	30631	30285	NearestLocation	NA	NA
chr2	62749160	62749751	592	*	4.04	4.81	2.25	2.56	0.0114	0.171	2663	ENSG00000252436	62726636	62726740	-	upstream	-22420	22420	NearestLocation	NA	NA
chr1	60129126	60130309	1184	*	5.66	6.11	5.02	1.09	0.0115	0.171	282	ENSG00000238242	60114875	60149679	+	inside	14251	14251	NearestLocation	NA	NA
chr8	106777835	106779148	1314	*	6.1	6.51	5.52	0.99	0.0115	0.172	9319	ENSG00000174429	106759483	106770245	-	upstream	-7590	7590	NearestLocation	ABRA	137735
chr3	180249931	180250888	958	*	5.24	5.87	4.08	1.79	0.0116	0.172	5632	ENSG00000213158	180201136	180213108	+	downstream	48795	36823	NearestLocation	NA	NA
chr1	221435689	221438258	2570	*	6.42	6.87	5.78	1.09	0.0116	0.172	1153	ENSG00000232436	221508559	221510979	+	upstream	-72870	70301	NearestLocation	NA	NA
chr3	178318081	178319918	1838	*	6.81	7.22	6.22	1	0.0118	0.175	5445	ENSG00000197584	178272932	178844429	+	inside	45149	45149	NearestLocation	KCNMB2	10242
chr3	178023402	178024906	1505	*	5.92	6.45	5.09	1.35	0.0118	0.175	5401	ENSG00000199858	178007672	178007779	-	upstream	-15623	15623	NearestLocation	NA	NA
chr9	123088903	123092051	3149	*	7.53	7.84	7.14	0.71	0.0119	0.176	9509	ENSG00000274325	123111546	123111643	-	downstream	22740	19495	NearestLocation	NA	NA
chr6	56379973	56380840	868	*	5.25	5.77	4.45	1.32	0.012	0.177	7802	ENSG00000124749	56056590	56394094	-	inside	14121	13254	NearestLocation	COL21A1	81578
chr6	52697144	52698191	1048	*	5.77	6.2	5.16	1.04	0.012	0.177	7622	ENSG00000220377	52687930	52703825	-	inside	6681	5634	NearestLocation	NA	NA
chr2_KI270772v1_alt	51164	52054	891	*	2.66	3.56	-0.16	3.72	0.0122	0.179	3156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	39354602	39355091	490	*	5.66	6.2	4.81	1.39	0.0123	0.18	1328	ENSG00000233832	38783004	38783108	+	downstream	571598	571494	NearestLocation	NA	NA
chr3	180751031	180752545	1515	*	5.55	6.16	4.49	1.66	0.0123	0.18	5665	ENSG00000242811	180736405	180736703	-	upstream	-14328	14328	NearestLocation	NA	NA
chr3	174811794	174813607	1814	*	6.26	6.72	5.57	1.15	0.0123	0.18	5013	ENSG00000253020	174631823	174632064	+	downstream	179971	179730	NearestLocation	NA	NA
chr3	193086120	193087522	1403	*	5.81	6.25	5.15	1.1	0.0124	0.182	5946	ENSG00000236229	193155456	193157208	-	downstream	71088	67934	NearestLocation	NA	NA
chr1	69492586	69494188	1603	*	6.3	6.7	5.75	0.94	0.0127	0.185	622	ENSG00000229639	69433255	69435409	+	downstream	59331	57177	NearestLocation	LINC01758	105378788
chr3	187772206	187773151	946	*	5.44	5.91	4.74	1.17	0.0127	0.185	5929	ENSG00000224049	187796187	187805258	+	upstream	-23981	23036	NearestLocation	NA	NA
chr3	175351439	175353442	2004	*	6.49	6.88	5.95	0.93	0.0127	0.185	5089	ENSG00000264974	175369540	175369621	+	upstream	-18101	16098	NearestLocation	MIR4789	100616395
chr6	51243974	51246099	2126	*	6.31	6.72	5.75	0.97	0.0128	0.185	7494	ENSG00000270306	51385282	51385849	-	downstream	141875	139183	NearestLocation	NA	NA
chr7	94103599	94105498	1900	*	6.05	6.51	5.38	1.12	0.0128	0.185	8927	ENSG00000236938	94071759	94077157	-	upstream	-26442	26442	NearestLocation	NA	NA
chr3	175070851	175071877	1027	*	5.43	6.04	4.35	1.69	0.0128	0.185	5058	ENSG00000230497	175059361	175060031	-	upstream	-10820	10820	NearestLocation	NA	NA
chr7	90462644	90463727	1084	*	5.52	6.2	4.21	1.99	0.0128	0.186	8872	ENSG00000058091	90466424	91210590	+	upstream	-3780	2697	NearestLocation	CDK14	5218
chr7	143823421	143825241	1821	*	5.63	6.08	4.98	1.1	0.0129	0.187	9148	ENSG00000253882	143761790	143836933	-	inside	13512	11692	NearestLocation	LOC154761	154761
chr10	89346669	89347432	764	*	6.04	6.45	5.46	0.99	0.0129	0.187	1471	ENSG00000224289	89362294	89363487	+	upstream	-15625	14862	NearestLocation	NA	NA
chr7	36050682	36051860	1179	*	6.13	6.52	5.6	0.93	0.013	0.188	8311	ENSG00000232930	36029611	36055431	+	inside	21071	3571	NearestLocation	NA	NA
chr2	54984638	54985510	873	*	4.73	5.39	3.45	1.95	0.0131	0.188	2630	ENSG00000200086	55014418	55014521	-	downstream	29883	28908	NearestLocation	NA	NA
chr7	143850144	143851398	1255	*	5.81	6.28	5.13	1.14	0.0131	0.189	9150	ENSG00000253882	143761790	143836933	-	upstream	-13211	13211	NearestLocation	LOC154761	154761
chr3	175968439	175969132	694	*	3.92	4.78	1.52	3.26	0.0132	0.189	5170	ENSG00000230362	175977497	175978570	-	downstream	10131	8365	NearestLocation	NA	NA
chr22	16726543	16728123	1581	*	7.68	8.01	7.25	0.75	0.0133	0.19	3404	ENSG00000235343	16746869	16748645	-	downstream	22102	18746	NearestLocation	LINC01665	101929350
chr6	132814170	132815211	1042	*	5.85	6.74	3.13	3.6	0.0133	0.19	7927	ENSG00000112306	132814441	132817564	+	overlapStart	-271	271	NearestLocation	RPS12	6206
chr2	111206913	111209491	2579	*	7.07	7.4	6.65	0.74	0.0133	0.19	3004	ENSG00000227992	111203964	111206215	-	upstream	-698	698	NearestLocation	NA	NA
chr3	170544730	170545464	735	*	4.85	5.6	3.2	2.41	0.0135	0.192	4410	ENSG00000013293	170459584	170586074	-	inside	41344	40610	NearestLocation	SLC7A14	57709
chr3	173855899	173857680	1782	*	6.33	6.72	5.79	0.94	0.0135	0.192	4869	ENSG00000228213	173910498	173920796	-	downstream	64897	52818	NearestLocation	NLGN1-AS1	100874010
chr6	52816117	52817503	1387	*	6.07	6.5	5.47	1.04	0.0136	0.194	7640	ENSG00000223622	52805613	52813460	-	upstream	-2657	2657	NearestLocation	NA	NA
chr7	33896326	33900226	3901	*	7.4	7.76	6.94	0.82	0.0137	0.194	8156	ENSG00000164619	33904911	34155872	+	upstream	-8585	4685	NearestLocation	BMPER	168667
chr3	172916180	172919348	3169	*	7.64	7.96	7.22	0.73	0.0137	0.194	4718	ENSG00000237501	172830981	172831229	-	upstream	-84951	84951	NearestLocation	NA	NA
chr2	84525991	84527531	1541	*	5.94	6.34	5.36	0.98	0.0137	0.194	2946	ENSG00000115423	84516455	84819589	+	inside	9536	9536	NearestLocation	DNAH6	1768
chr6	9846741	9848028	1288	*	5.95	6.36	5.37	0.99	0.0138	0.195	6840	ENSG00000216368	10118452	10119253	+	upstream	-271711	270424	NearestLocation	NA	NA
chr20	45681558	45682502	945	*	6.12	6.52	5.57	0.95	0.0138	0.195	3239	ENSG00000180083	45648563	45670270	-	upstream	-11288	11288	NearestLocation	WFDC11	259239
chr3	179177976	179179274	1299	*	6.35	6.82	5.66	1.16	0.0138	0.195	5582	ENSG00000201957	179169083	179169210	-	upstream	-8766	8766	NearestLocation	NA	NA
chr1	78619064	78621036	1973	*	6.4	6.78	5.87	0.91	0.0139	0.195	701	ENSG00000137959	78619922	78646145	+	overlapStart	-858	858	NearestLocation	IFI44L	10964
chr22_KI270733v1_random	79699	80560	862	*	3.26	4.11	0.92	3.19	0.0139	0.195	3561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr20	50096781	50098049	1269	*	5.79	6.28	5.04	1.24	0.0139	0.195	3244	ENSG00000244687	50081124	50115959	-	inside	19178	15657	NearestLocation	UBE2V1	7335
chr3	171349371	171350390	1020	*	5.36	5.84	4.63	1.21	0.014	0.196	4537	ENSG00000222506	171439526	171439627	+	upstream	-90155	89136	NearestLocation	NA	NA
chr5_GL000208v1_random	88628	92557	3930	*	7.44	7.78	6.99	0.79	0.014	0.196	6696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	84959485	84961708	2224	*	6.49	6.92	5.87	1.04	0.014	0.196	796	ENSG00000153898	84925583	84997113	-	inside	37628	33902	NearestLocation	MCOLN2	255231
chr3	107539765	107540616	852	*	5.26	5.76	4.49	1.26	0.0142	0.197	3842	ENSG00000114439	107522936	107811324	+	inside	16829	16829	NearestLocation	BBX	56987
chr3	174725700	174727833	2134	*	6.28	6.78	5.49	1.3	0.0142	0.198	5001	ENSG00000253020	174631823	174632064	+	downstream	93877	93636	NearestLocation	NA	NA
chrUn_KI270538v1	80169	81615	1447	*	6.78	7.21	6.16	1.05	0.0142	0.198	9593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	100733646	100734556	911	*	5.3	5.86	4.36	1.5	0.0142	0.198	3748	ENSG00000114354	100709331	100748966	+	inside	24315	14410	NearestLocation	TFG	10342
chr2	36399272	36400369	1098	*	5.09	5.63	4.2	1.43	0.0143	0.198	2495	ENSG00000150938	36355926	36551135	+	inside	43346	43346	NearestLocation	CRIM1	51232
chr6	25013851	25015536	1686	*	7.44	7.74	7.06	0.68	0.0143	0.198	6950	ENSG00000220517	25023247	25024483	-	downstream	10632	7711	NearestLocation	NA	NA
chr3	178590667	178593155	2489	*	6.55	6.98	5.93	1.05	0.0145	0.2	5502	ENSG00000271131	178493327	178493810	-	upstream	-96857	96857	NearestLocation	NA	NA
chr3	11798644	11799442	799	*	4.89	5.5	3.8	1.7	0.0145	0.2	3604	ENSG00000144560	11556070	11771350	-	upstream	-27294	27294	NearestLocation	VGLL4	9686
chr6	51965702	51967407	1706	*	5.71	6.23	4.89	1.34	0.0146	0.2	7574	ENSG00000240641	51975673	51975959	+	upstream	-9971	8266	NearestLocation	NA	NA
chr20	53003007	53003509	503	*	5.46	5.94	4.74	1.2	0.0146	0.2	3262	ENSG00000182463	52972407	53495330	+	inside	30600	30600	NearestLocation	TSHZ2	128553
chr3	171184379	171188031	3653	*	7.74	8.02	7.4	0.63	0.0146	0.2	4499	ENSG00000207963	171106664	171106759	-	upstream	-77620	77620	NearestLocation	MIR569	693154
chr3	173994971	173996694	1724	*	6.05	6.49	5.42	1.08	0.0146	0.201	4892	ENSG00000252982	174057641	174057864	+	upstream	-62670	60947	NearestLocation	NA	NA
chr21	38222613	38223483	871	*	5.08	5.62	4.21	1.41	0.0147	0.201	3353	ENSG00000226012	38237217	38238201	-	downstream	15588	13734	NearestLocation	NA	NA
chr6	8913315	8914103	789	*	3.94	4.77	1.71	3.07	0.0147	0.201	6762	ENSG00000230939	8784178	8785445	+	downstream	129137	127870	NearestLocation	NA	NA
chr1	61099183	61100572	1390	*	5.83	6.32	5.09	1.22	0.0147	0.201	353	ENSG00000270742	61124733	61125202	+	upstream	-25550	24161	NearestLocation	NA	NA
chr3	177061362	177062458	1097	*	5.48	5.95	4.76	1.2	0.0147	0.201	5304	ENSG00000231310	177037405	177047923	+	downstream	23957	13439	NearestLocation	NA	NA
chr3	182671083	182672550	1468	*	6.34	6.81	5.64	1.17	0.0148	0.201	5801	ENSG00000243378	182691928	182692285	+	upstream	-20845	19378	NearestLocation	NA	NA
chr3	176759474	176760478	1005	*	5.23	5.74	4.44	1.3	0.0148	0.201	5272	ENSG00000252302	176763233	176763341	+	upstream	-3759	2755	NearestLocation	NA	NA
chr2	45673379	45676020	2642	*	6.75	7.25	5.98	1.27	0.0148	0.201	2552	ENSG00000228481	45674701	45675476	-	includeFeature	2097	544	NearestLocation	LOC105374580	105374580
chr3	178728044	178731031	2988	*	6.75	7.19	6.11	1.08	0.0148	0.201	5531	ENSG00000237978	178526505	178860405	-	inside	132361	129374	NearestLocation	NA	NA
chr3	174684884	174685948	1065	*	4.89	5.48	3.87	1.61	0.0148	0.201	4999	ENSG00000253020	174631823	174632064	+	downstream	53061	52820	NearestLocation	NA	NA
chr3	115643071	115645098	2028	*	6.54	6.89	6.06	0.83	0.0149	0.202	4147	ENSG00000241596	115658533	115661279	+	upstream	-15462	13435	NearestLocation	NA	NA
chr20	10923751	10926047	2297	*	6.43	7.33	3.48	3.85	0.0149	0.202	3173	ENSG00000232900	10875333	10909272	-	upstream	-14479	14479	NearestLocation	LOC101929413	101929413
chr3	171604781	171606784	2004	*	7.37	7.7	6.93	0.77	0.0149	0.202	4574	ENSG00000234594	171534423	171534615	+	downstream	70358	70166	NearestLocation	NA	NA
chr20	45549603	45550432	830	*	5.92	6.33	5.34	0.99	0.0151	0.203	3228	ENSG00000101448	45540626	45547752	-	upstream	-1851	1851	NearestLocation	EPPIN	57119
chr6	67068041	67068946	906	*	4.94	5.59	3.76	1.83	0.0152	0.204	7849	ENSG00000266073	67149509	67149599	-	downstream	81558	80563	NearestLocation	NA	NA
chr12	112408653	112409602	950	*	5.56	6.13	4.6	1.53	0.0152	0.205	1915	ENSG00000179295	112418351	112509913	+	upstream	-9698	8749	NearestLocation	PTPN11	5781
chr3	80410192	80410756	565	*	2.97	0.61	3.82	-3.21	0.0153	0.205	3710	ENSG00000242586	80442081	80442305	+	upstream	-31889	31325	NearestLocation	NA	NA
chr3	178629343	178630614	1272	*	6.01	6.41	5.44	0.97	0.0153	0.206	5511	ENSG00000271131	178493327	178493810	-	upstream	-135533	135533	NearestLocation	NA	NA
chr3	178272688	178275039	2352	*	6.68	7.03	6.21	0.82	0.0154	0.206	5441	ENSG00000197584	178272932	178844429	+	overlapStart	-244	244	NearestLocation	KCNMB2	10242
chr3	175631866	175633138	1273	*	5.73	6.17	5.09	1.08	0.0154	0.206	5120	ENSG00000201648	175609479	175609613	+	downstream	22387	22253	NearestLocation	NA	NA
chr13	29923093	29924602	1510	*	4.38	5.07	3.01	2.06	0.0154	0.206	1943	ENSG00000224405	29918647	29926651	-	inside	3558	2049	NearestLocation	LINC00572	100861573
chr6	25150131	25151385	1255	*	5.54	6.08	4.66	1.42	0.0155	0.206	6968	ENSG00000262400	25152547	25152883	+	upstream	-2416	1162	NearestLocation	NA	NA
chr1	116537966	116539321	1356	*	5.85	6.28	5.25	1.02	0.0155	0.206	915	ENSG00000177173	116532936	116534092	-	upstream	-3874	3874	NearestLocation	NA	NA
chr5	159750994	159752385	1392	*	5.93	6.33	5.36	0.98	0.0157	0.208	6660	ENSG00000254199	159748233	159761061	-	inside	10067	2761	NearestLocation	NA	NA
chr11	95518435	95519372	938	*	5.87	6.28	5.29	0.98	0.0157	0.208	1743	ENSG00000250390	95482406	95497553	+	downstream	36029	20882	NearestLocation	NA	NA
chr12	46663414	46664560	1147	*	5.13	5.66	4.26	1.4	0.0158	0.209	1882	ENSG00000271642	46682071	46682713	-	downstream	19299	17511	NearestLocation	NA	NA
chr6	50473667	50474427	761	*	4.84	5.48	3.64	1.84	0.0159	0.21	7482	ENSG00000233470	50514035	50521104	+	upstream	-40368	39608	NearestLocation	NA	NA
chr2	56474799	56475607	809	*	5.1	5.64	4.23	1.4	0.0159	0.21	2649	ENSG00000199395	56235217	56235330	-	upstream	-239469	239469	NearestLocation	NA	NA
chr7	40791842	40793117	1276	*	5.69	6.12	5.06	1.06	0.0159	0.21	8600	ENSG00000227658	40775558	40785217	+	downstream	16284	6625	NearestLocation	NA	NA
chr5	159723073	159724580	1508	*	5.74	6.17	5.12	1.04	0.0159	0.21	6656	ENSG00000254199	159748233	159761061	-	downstream	37988	23653	NearestLocation	NA	NA
chr1	101025525	101026670	1146	*	6.27	7.17	3.43	3.74	0.016	0.21	839	ENSG00000233184	101025878	101087268	+	overlapStart	-353	353	NearestLocation	LOC102606465	102606465
chr2	138072178	138073636	1459	*	6.32	6.68	5.83	0.85	0.016	0.21	3056	ENSG00000224231	138101884	138105905	+	upstream	-29706	28248	NearestLocation	NA	NA
chr3	178595239	178597753	2515	*	6.79	7.16	6.28	0.88	0.016	0.21	5504	ENSG00000271131	178493327	178493810	-	upstream	-101429	101429	NearestLocation	NA	NA
chr2	38147530	38148576	1047	*	6.04	6.48	5.42	1.06	0.016	0.21	2524	ENSG00000199603	38147415	38147521	+	downstream	115	9	NearestLocation	NA	NA
chr8	70237395	70240087	2693	*	6.74	7.08	6.29	0.79	0.0161	0.21	9257	ENSG00000213003	70273369	70273837	+	upstream	-35974	33282	NearestLocation	NA	NA
chr6	26553019	26554979	1961	*	7.38	7.71	6.95	0.76	0.0161	0.211	6993	ENSG00000182952	26538405	26546254	+	downstream	14614	6765	NearestLocation	HMGN4	10473
chr2	176561417	176562590	1174	*	6.02	6.42	5.46	0.97	0.0163	0.213	3082	ENSG00000236231	176524879	176531683	-	upstream	-29734	29734	NearestLocation	NA	NA
chr3	115590122	115593918	3797	*	7.23	7.55	6.82	0.73	0.0165	0.215	4138	ENSG00000172020	115623324	115721490	+	upstream	-33202	29406	NearestLocation	GAP43	2596
chr3	187759090	187760046	957	*	4.61	5.24	3.43	1.81	0.0165	0.215	5928	ENSG00000113916	187721377	187745727	-	upstream	-13363	13363	NearestLocation	BCL6	604
chr6	44863161	44864232	1072	*	5.16	5.74	4.17	1.57	0.0166	0.216	7070	ENSG00000270900	44898711	44899295	+	upstream	-35550	34479	NearestLocation	NA	NA
chr21	34110875	34111669	795	*	5.96	6.36	5.4	0.97	0.0166	0.216	3312	ENSG00000224598	34135432	34136071	-	downstream	25196	23763	NearestLocation	NA	NA
chr1	40709077	40709810	734	*	6.04	6.42	5.51	0.92	0.0166	0.216	33	ENSG00000272145	40690380	40692066	-	upstream	-17011	17011	NearestLocation	NA	NA
chr3	176071368	176072396	1029	*	5.24	5.74	4.49	1.24	0.0167	0.216	5179	ENSG00000271413	176069107	176069252	+	downstream	2261	2116	NearestLocation	NA	NA
chr3	173661167	173662276	1110	*	5.87	6.34	5.18	1.16	0.0167	0.216	4841	ENSG00000237645	173644231	173644711	+	downstream	16936	16456	NearestLocation	NA	NA
chr3	173997860	173999056	1197	*	5.91	6.32	5.33	0.99	0.0167	0.216	4893	ENSG00000252982	174057641	174057864	+	upstream	-59781	58585	NearestLocation	NA	NA
chr3	177736372	177738394	2023	*	6.33	6.7	5.83	0.87	0.0168	0.216	5356	ENSG00000277241	177700346	177701072	-	upstream	-35300	35300	NearestLocation	NA	NA
chr3	120743440	120744040	601	*	5.57	6.1	4.74	1.36	0.0168	0.216	4201	ENSG00000144840	120686681	120742993	-	upstream	-447	447	NearestLocation	RABL3	285282
chr22	26484194	26485046	853	*	5.78	6.26	5.05	1.21	0.0168	0.217	3473	ENSG00000100104	26483877	26494658	+	inside	317	317	NearestLocation	SRRD	402055
chr6	40905227	40907145	1919	*	6.5	6.85	6.03	0.82	0.0169	0.217	7027	ENSG00000124602	41026911	41039217	-	downstream	133990	119766	NearestLocation	UNC5CL	222643
chr7	39026092	39027736	1645	*	6.27	6.67	5.73	0.94	0.0169	0.217	8498	ENSG00000233854	38984243	39013551	-	upstream	-12541	12541	NearestLocation	NA	NA
chr1	85315600	85317036	1437	*	6.16	6.54	5.64	0.9	0.017	0.217	808	ENSG00000264380	85284610	85284673	+	downstream	30990	30927	NearestLocation	NA	NA
chr22	28139779	28141410	1632	*	6.14	6.52	5.61	0.91	0.0171	0.218	3495	ENSG00000279802	28220486	28232600	+	upstream	-80707	79076	NearestLocation	NA	NA
chr6	45848656	45849657	1002	*	4.45	5.22	2.68	2.54	0.0172	0.219	7125	ENSG00000212468	46018745	46018851	+	upstream	-170089	169088	NearestLocation	NA	NA
chr9	114901511	114902786	1276	*	5.74	6.31	4.78	1.53	0.0172	0.219	9458	ENSG00000106952	114893343	114930595	-	inside	29084	8168	NearestLocation	TNFSF8	944
chr17_KI270730v1_random	90694	92793	2100	*	5.91	6.34	5.29	1.05	0.0172	0.219	2363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	171506144	171508985	2842	*	7.63	7.98	7.17	0.81	0.0172	0.219	4563	ENSG00000207114	171504245	171504351	-	upstream	-1793	1793	NearestLocation	NA	NA
chr2	46304731	46306397	1667	*	7.14	7.48	6.68	0.8	0.0173	0.219	2555	ENSG00000116016	46293667	46386703	+	inside	11064	11064	NearestLocation	EPAS1	2034
chr22	15710159	15711507	1349	*	6.38	6.79	5.8	0.99	0.0174	0.221	3370	ENSG00000236666	15699361	15703403	-	upstream	-6756	6756	NearestLocation	NA	NA
chr3	178560372	178563778	3407	*	7.29	7.58	6.92	0.67	0.0174	0.221	5498	ENSG00000271131	178493327	178493810	-	upstream	-66562	66562	NearestLocation	NA	NA
chr8	117668788	117670194	1407	*	5.8	6.33	4.96	1.37	0.0176	0.222	9324	ENSG00000239917	117523271	117524061	-	upstream	-144727	144727	NearestLocation	NA	NA
chr10	110872454	110872968	515	*	6.36	6.72	5.87	0.85	0.0177	0.224	1537	ENSG00000203497	110869868	110872233	-	upstream	-221	221	NearestLocation	NA	NA
chr22	15768381	15769452	1072	*	7.18	7.68	6.4	1.28	0.0177	0.224	3371	ENSG00000206195	15784959	15829984	+	upstream	-16578	15507	NearestLocation	DUXAP8	503637
chr6	9765790	9767607	1818	*	6.65	7.01	6.18	0.83	0.0177	0.224	6831	ENSG00000216368	10118452	10119253	+	upstream	-352662	350845	NearestLocation	NA	NA
chr7	31431136	31432071	936	*	5.13	5.85	3.62	2.23	0.0178	0.225	8008	ENSG00000231418	31414645	31421286	-	upstream	-9850	9850	NearestLocation	LOC105375224	105375224
chr7	42671867	42673583	1717	*	6.6	6.97	6.1	0.88	0.0178	0.225	8763	ENSG00000238284	42661726	42706447	-	inside	34580	10141	NearestLocation	LINC01448	101928795
chr6	50452511	50453422	912	*	4.93	5.51	3.98	1.53	0.0179	0.225	7480	ENSG00000233470	50514035	50521104	+	upstream	-61524	60613	NearestLocation	NA	NA
chr6	56239791	56241652	1862	*	5.95	6.52	5	1.53	0.0179	0.225	7796	ENSG00000219095	56276529	56276796	-	downstream	37005	34877	NearestLocation	NA	NA
chr21	37098065	37098622	558	*	6.58	6.94	6.1	0.84	0.0179	0.225	3342	ENSG00000270116	37100814	37101343	+	upstream	-2749	2192	NearestLocation	NA	NA
chr6	24942833	24944324	1492	*	6.27	6.69	5.68	1.01	0.0182	0.227	6945	ENSG00000217083	24947880	24948344	+	upstream	-5047	3556	NearestLocation	NA	NA
chr12	75237206	75238266	1061	*	5.84	6.24	5.27	0.97	0.0182	0.227	1893	ENSG00000254451	75234740	75298508	+	inside	2466	2466	NearestLocation	LOC100130268	100130268
chr1	56400298	56401993	1696	*	5.67	6.18	4.85	1.33	0.0182	0.227	183	ENSG00000223956	56414963	56415966	+	upstream	-14665	12970	NearestLocation	LINC01767	105378744
chr2	133643453	133644487	1035	*	5.38	5.86	4.67	1.18	0.0182	0.227	3039	ENSG00000200708	133596091	133596399	+	downstream	47362	47054	NearestLocation	NA	NA
chr11	82857924	82858689	766	*	6.05	6.56	5.27	1.28	0.0184	0.229	1665	ENSG00000254441	82835509	82837222	+	downstream	22415	20702	NearestLocation	NA	NA
chr3	105526563	105527971	1409	*	6.14	6.53	5.62	0.91	0.0185	0.229	3803	ENSG00000170017	105366909	105576900	+	inside	159654	48929	NearestLocation	ALCAM	214
chr2	62653107	62655128	2022	*	6.35	6.75	5.8	0.95	0.0185	0.229	2662	ENSG00000226622	62590255	62662654	-	inside	9547	7526	NearestLocation	NA	NA
chr1	61452346	61454830	2485	*	7.09	7.39	6.7	0.69	0.0185	0.229	371	ENSG00000264551	61629031	61629121	+	upstream	-176685	174201	NearestLocation	NA	NA
chr7	36603651	36606562	2912	*	7.74	8.01	7.4	0.62	0.0185	0.23	8330	ENSG00000230539	36597834	36600120	-	upstream	-3531	3531	NearestLocation	AOAH-IT1	100874264
chr1	78333127	78334073	947	*	5.42	5.88	4.75	1.13	0.0186	0.23	696	ENSG00000227556	78317157	78317263	-	upstream	-15864	15864	NearestLocation	NA	NA
chr22	16824436	16825909	1474	*	5.42	5.87	4.76	1.11	0.0186	0.23	3413	ENSG00000229027	16827474	16829335	+	upstream	-3038	1565	NearestLocation	HSFY1P1	27437
chr10	48126315	48126890	576	*	4.48	5.18	3.07	2.11	0.0187	0.23	1341	ENSG00000278561	48064308	48119455	-	upstream	-6860	6860	NearestLocation	NA	NA
chr7	41027779	41029056	1278	*	6.89	7.28	6.35	0.93	0.0187	0.23	8623	ENSG00000232458	40964667	40979939	-	upstream	-47840	47840	NearestLocation	LINC01450	101928744
chr10	78119641	78120513	873	*	5.54	6.03	4.78	1.25	0.0187	0.23	1417	ENSG00000231957	78068623	78069538	-	upstream	-50103	50103	NearestLocation	NA	NA
chr3	171569451	171570570	1120	*	6.39	6.79	5.82	0.97	0.0187	0.23	4569	ENSG00000234594	171534423	171534615	+	downstream	35028	34836	NearestLocation	NA	NA
chr2	53474427	53476590	2164	*	6.16	6.64	5.43	1.21	0.0187	0.23	2578	ENSG00000251942	53470447	53470629	-	upstream	-3798	3798	NearestLocation	NA	NA
chr6	73025830	73027461	1632	*	6.01	6.41	5.45	0.96	0.0188	0.23	7903	ENSG00000220515	73055097	73055857	+	upstream	-29267	27636	NearestLocation	NA	NA
chr1	60885129	60886147	1019	*	5.76	6.18	5.17	1.01	0.0188	0.23	335	ENSG00000162599	60865259	61462793	+	inside	19870	19870	NearestLocation	NFIA	4774
chr7	106165604	106168512	2909	*	6.59	6.97	6.08	0.89	0.0188	0.23	9032	ENSG00000201796	106208167	106208267	+	upstream	-42563	39655	NearestLocation	NA	NA
chr1	61337188	61339237	2050	*	6.5	6.89	5.98	0.91	0.0188	0.23	367	ENSG00000237853	61248945	61253510	-	upstream	-83678	83678	NearestLocation	NFIA-AS1	645030
chr7	34017229	34018587	1359	*	6.01	6.41	5.45	0.96	0.0189	0.23	8171	ENSG00000164619	33904911	34155872	+	inside	112318	112318	NearestLocation	BMPER	168667
chr11	94617963	94618629	667	*	7.24	7.59	6.78	0.81	0.0189	0.23	1722	ENSG00000233536	94638038	94640833	+	upstream	-20075	19409	NearestLocation	NA	NA
chr7	94044912	94045835	924	*	5.27	5.78	4.5	1.28	0.019	0.231	8913	ENSG00000236453	94022833	94066661	+	inside	22079	20826	NearestLocation	NA	NA
chr6	46071679	46073791	2113	*	6.13	6.53	5.57	0.96	0.019	0.231	7155	ENSG00000112782	45898451	46080395	-	inside	8716	6604	NearestLocation	CLIC5	53405
chr5	149002160	149004347	2188	*	6.77	7.18	6.2	0.97	0.019	0.231	6567	ENSG00000272411	148970340	148970653	+	downstream	31820	31507	NearestLocation	NA	NA
chr3	181284626	181286422	1797	*	6.33	6.68	5.85	0.83	0.0191	0.231	5684	ENSG00000237806	181242345	181242901	-	upstream	-41725	41725	NearestLocation	NA	NA
